Date,Open,High,Low,Close,Volume,Adj Close
2012-09-12,666.85,669.90,656.00,669.79,25410600,669.79
2012-09-11,665.11,670.10,656.50,660.59,17987400,660.59
2012-09-10,680.45,683.29,662.10,662.74,17428500,662.74
2012-09-07,678.05,682.48,675.77,680.44,11773800,680.44
2012-09-06,673.17,682.29,670.80,676.27,13971300,676.27
2012-09-05,675.57,676.35,669.60,670.23,12013400,670.23
